Cycle 3,Sample School,Sample School,Sample School,Sample School,Sample School
Date,Grade,Class,Diner,Quantity,Meal
28-Oct-24,Primary,0Sample,78d4606d,1,Macaroni and Cheese with Vegetables
28-Oct-24,Primary,0Sample,a1d725b9,1,Macaroni and Cheese with Beef and Vegetables
28-Oct-24,Primary,0Sample,97b9c769,1,Macaroni and Cheese with Vegetables
28-Oct-24,Primary,0Sample,f66244f8,1,Macaroni and Cheese with Vegetables
28-Oct-24,Primary,0Sample,37912c73,1,Macaroni and Cheese with Vegetables
28-Oct-24,Primary,0Sample,a2932d17,1,Macaroni and Cheese with Vegetables
28-Oct-24,Primary,0Sample,baabe42a,1,Macaroni and Cheese with Beef and Vegetables
28-Oct-24,Primary,0Sample,80bf17f3,1,Macaroni and Cheese with Beef and Vegetables
28-Oct-24,Primary,0Sample,1022191e,1,Macaroni and Cheese with Vegetables
29-Oct-24,Primary,0Sample,75d1ad73,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Primary,0Sample,1798eeda,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Primary,0Sample,78d4606d,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Primary,0Sample,a1d725b9,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Primary,0Sample,97b9c769,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Primary,0Sample,37912c73,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Primary,0Sample,baabe42a,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Primary,0Sample,80bf17f3,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Primary,0Sample,1022191e,1,Soft Chicken Taco with Cheese and Vegetables
30-Oct-24,Primary,0Sample,75d1ad73,1,Baked Potato with Beef Chilli and Vegetables
30-Oct-24,Primary,0Sample,78d4606d,1,Baked Potato with Beef Chilli and Vegetables
30-Oct-24,Primary,0Sample,a1d725b9,1,Baked Potato with Beef Chilli and Vegetables
30-Oct-24,Primary,0Sample,97b9c769,1,Baked Potato with Beef Chilli and Vegetables
30-Oct-24,Primary,0Sample,37912c73,1,Baked Potato with Beef Chilli and Vegetables
30-Oct-24,Primary,0Sample,baabe42a,1,Baked Potato with Beef Chilli and Vegetables
30-Oct-24,Primary,0Sample,80bf17f3,1,Baked Potato with Beef Chilli and Vegetables
31-Oct-24,Primary,0Sample,75d1ad73,1,Omelet English Muffin with Fruit
31-Oct-24,Primary,0Sample,d1add022,1,Maple Apple French Toast Bake with Apples and Blueberries
31-Oct-24,Primary,0Sample,fcdaeccb,1,Maple Apple French Toast Bake with Apples and Blueberries
31-Oct-24,Primary,0Sample,1798eeda,1,Maple Apple French Toast Bake with Apples and Blueberries
31-Oct-24,Primary,0Sample,78d4606d,1,Maple Apple French Toast Bake with Apples and Blueberries
31-Oct-24,Primary,0Sample,fe87a27a,1,Omelet English Muffin with Fruit
31-Oct-24,Primary,0Sample,a1d725b9,1,Maple Apple French Toast Bake with Apples and Blueberries
31-Oct-24,Primary,0Sample,97b9c769,1,Maple Apple French Toast Bake with Apples and Blueberries
31-Oct-24,Primary,0Sample,37912c73,1,Maple Apple French Toast Bake with Apples and Blueberries
31-Oct-24,Primary,0Sample,a2932d17,1,Omelet English Muffin with Fruit
31-Oct-24,Primary,0Sample,baabe42a,1,Omelet English Muffin with Fruit
31-Oct-24,Primary,0Sample,80bf17f3,1,Maple Apple French Toast Bake with Apples and Blueberries
31-Oct-24,Primary,0Sample,1022191e,1,Omelet English Muffin with Fruit
01-Nov-24,Primary,0Sample,75d1ad73,1,Mini Veggie Pizza with Vegetables and Fruit
01-Nov-24,Primary,0Sample,d1add022,1,Mini Cheese Pizza with Vegetables
01-Nov-24,Primary,0Sample,1798eeda,1,Mini Cheese Pizza with Vegetables
01-Nov-24,Primary,0Sample,78d4606d,1,Mini Cheese Pizza with Vegetables
01-Nov-24,Primary,0Sample,fe87a27a,1,Mini Cheese Pizza with Vegetables
01-Nov-24,Primary,0Sample,a1d725b9,1,Mini Cheese Pizza with Vegetables
01-Nov-24,Primary,0Sample,97b9c769,1,Mini Cheese Pizza with Vegetables
01-Nov-24,Primary,0Sample,f66244f8,1,Mini Cheese Pizza with Vegetables
01-Nov-24,Primary,0Sample,37912c73,1,Mini Cheese Pizza with Vegetables
01-Nov-24,Primary,0Sample,a2932d17,1,Mini Veggie Pizza with Vegetables and Fruit
01-Nov-24,Primary,0Sample,baabe42a,1,Mini Veggie Pizza with Vegetables and Fruit
01-Nov-24,Primary,0Sample,80bf17f3,1,Mini Cheese Pizza with Vegetables
01-Nov-24,Primary,0Sample,1022191e,1,Mini Cheese Pizza with Vegetables
04-Nov-24,Primary,0Sample,75d1ad73,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,0Sample,1798eeda,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,0Sample,78d4606d,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,0Sample,61c4dcea,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,0Sample,fe87a27a,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,0Sample,a1d725b9,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,0Sample,97b9c769,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,0Sample,f66244f8,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,0Sample,a2932d17,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,0Sample,baabe42a,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,0Sample,80bf17f3,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,0Sample,1022191e,1,Pasta with Tomato Beef Sauce
05-Nov-24,Primary,0Sample,75d1ad73,1,Indian Murgh Makhani (Butter Chicken Curry) with Rice
05-Nov-24,Primary,0Sample,1798eeda,1,Indian Murgh Makhani (Butter Chicken Curry) with Rice
